[2026-06-09 18:12:20] GET /api/metrics/table - Total: 2.33ms, DB Conn: 0.94ms, DB Query: 0.76ms
[2026-06-09 18:12:20] GET /api/metrics/summary - Total: 2.76ms, DB Conn: 0.87ms, DB Query: 0.81ms
[2026-06-09 18:12:20] GET /api/report-metadata - Total: 2.35ms, DB Conn: 0.88ms, DB Query: 0.43ms
[2026-06-09 18:12:20] GET /api/metrics/charts - Total: 5.64ms, DB Conn: 0.72ms, DB Query: 2.72ms
[2026-06-09 18:12:26] GET /api/report-metadata - Total: 5.36ms, DB Conn: 0.78ms, DB Query: 0.41ms
[2026-06-09 18:12:26] GET /api/metrics/table - Total: 5.71ms, DB Conn: 0.86ms, DB Query: 0.84ms
[2026-06-09 18:12:26] GET /api/filters - Total: 5.20ms, DB Conn: 1.04ms, DB Query: 0.46ms
[2026-06-09 18:12:26] GET /api/metrics/charts - Total: 8.84ms, DB Conn: 0.91ms, DB Query: 3.65ms
[2026-06-09 18:12:26] GET /api/metrics/summary - Total: 7.36ms, DB Conn: 0.80ms, DB Query: 0.72ms
[2026-06-09 18:12:26] GET /api/report-metadata - Total: 2.30ms, DB Conn: 0.64ms, DB Query: 0.32ms
[2026-06-09 18:12:26] GET /api/filters - Total: 2.39ms, DB Conn: 0.97ms, DB Query: 0.41ms
[2026-06-09 18:12:26] GET /api/metrics/table - Total: 2.68ms, DB Conn: 0.74ms, DB Query: 0.67ms
[2026-06-09 18:12:26] GET /api/metrics/charts - Total: 4.87ms, DB Conn: 0.68ms, DB Query: 2.74ms
[2026-06-09 18:12:26] GET /api/metrics/summary - Total: 3.56ms, DB Conn: 0.68ms, DB Query: 0.64ms
[2026-06-09 18:12:30] GET /api/filters - Total: 3.26ms, DB Conn: 0.98ms, DB Query: 0.55ms
[2026-06-09 18:12:30] GET /api/metrics/table - Total: 3.70ms, DB Conn: 1.06ms, DB Query: 0.93ms
[2026-06-09 18:12:30] GET /api/metrics/summary - Total: 3.74ms, DB Conn: 0.80ms, DB Query: 1.00ms
[2026-06-09 18:12:30] GET /api/report-metadata - Total: 3.66ms, DB Conn: 0.74ms, DB Query: 0.44ms
[2026-06-09 18:12:30] GET /api/metrics/charts - Total: 6.39ms, DB Conn: 0.72ms, DB Query: 3.15ms
[2026-06-09 18:12:30] GET /api/metrics/summary - Total: 2.52ms, DB Conn: 0.88ms, DB Query: 0.78ms
[2026-06-09 18:12:30] GET /api/filters - Total: 1.56ms, DB Conn: 1.03ms, DB Query: 0.54ms
[2026-06-09 18:12:30] GET /api/metrics/table - Total: 2.35ms, DB Conn: 0.96ms, DB Query: 0.94ms
[2026-06-09 18:12:30] GET /api/report-metadata - Total: 2.71ms, DB Conn: 0.68ms, DB Query: 0.37ms
[2026-06-09 18:12:30] GET /api/metrics/charts - Total: 5.82ms, DB Conn: 0.81ms, DB Query: 2.87ms
[2026-06-09 18:12:34] GET /api/metrics/summary - Total: 3.12ms, DB Conn: 0.94ms, DB Query: 0.77ms
[2026-06-09 18:12:34] GET /api/report-metadata - Total: 2.99ms, DB Conn: 0.99ms, DB Query: 0.35ms
[2026-06-09 18:12:34] GET /api/filters - Total: 2.74ms, DB Conn: 0.84ms, DB Query: 0.45ms
[2026-06-09 18:12:34] GET /api/metrics/table - Total: 3.06ms, DB Conn: 1.09ms, DB Query: 0.77ms
[2026-06-09 18:12:34] GET /api/metrics/charts - Total: 5.26ms, DB Conn: 0.91ms, DB Query: 2.89ms
[2026-06-09 18:12:34] GET /api/filters - Total: 2.39ms, DB Conn: 0.87ms, DB Query: 0.41ms
[2026-06-09 18:12:34] GET /api/metrics/table - Total: 2.76ms, DB Conn: 0.79ms, DB Query: 0.70ms
[2026-06-09 18:12:34] GET /api/report-metadata - Total: 2.29ms, DB Conn: 0.79ms, DB Query: 0.30ms
[2026-06-09 18:12:34] GET /api/metrics/summary - Total: 2.77ms, DB Conn: 0.78ms, DB Query: 0.65ms
[2026-06-09 18:12:34] GET /api/metrics/charts - Total: 5.37ms, DB Conn: 0.73ms, DB Query: 2.62ms
[2026-06-09 18:12:34] GET /api/filters - Total: 2.27ms, DB Conn: 0.88ms, DB Query: 0.56ms
[2026-06-09 18:12:34] GET /api/metrics/summary - Total: 2.53ms, DB Conn: 0.61ms, DB Query: 0.77ms
[2026-06-09 18:12:34] GET /api/metrics/table - Total: 2.33ms, DB Conn: 1.00ms, DB Query: 0.87ms
[2026-06-09 18:12:34] GET /api/report-metadata - Total: 2.27ms, DB Conn: 0.85ms, DB Query: 0.35ms
[2026-06-09 18:12:34] GET /api/metrics/charts - Total: 5.03ms, DB Conn: 0.96ms, DB Query: 2.98ms
[2026-06-09 18:12:34] GET /api/filters - Total: 2.61ms, DB Conn: 1.05ms, DB Query: 0.51ms
